build_year,facades,garden,living_area,locality_name,number_rooms,postal_code,price,property_id,property_type,property_url,state,swimming_pool,terrace
1966,2,0,90,Watermaal-Bosvoorde,2,1170,450000,vbd47460,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1170/watermaal-bosvoorde/vbd47460,Excellent,0,1
2015,2,0,115,Schaarbeek,2,1030,445000,vbd19830,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd19830,Excellent,0,0
,,0,80,Ukkel,2,1180,299000,rbu11894,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/rbu11894,Normal,0,1
1964,,0,96,Schaarbeek,2,1030,315000,vbd23339,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd23339,Normal,1,1
,,0,65,Lier,1,2500,239500,rwc41005,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rwc41005,,0,1
,,0,85,Lier,2,2500,263000,rwc41006,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rwc41006,,0,1
1975,3,0,110,Ukkel,2,1180,359000,rwc31942,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/rwc31942,Excellent,0,1
1938,2,0,110,Schaarbeek,2,1030,270000,vbd30416,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd30416,Normal,0,0
,,0,90,Lier,2,2500,299500,rwc41121,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2500/lier/rwc41121,Excellent,0,1
1978,4,0,196,Ukkel,2,1180,565000,vbd23087,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd23087,Normal,0,1
,2,0,97,Schaarbeek,2,1030,289900,vbd37474,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd37474,Normal,0,1
1936,2,0,145,Ukkel,2,1180,498000,vbd33395,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd33395,To be renovated,0,1
2024,,0,100,Ranst,2,2520,359985,rbu66577,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2520/ranst/rbu66577,Normal,0,1
1970,2,0,55,Schaarbeek,2,1030,219000,vbd38037,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd38037,,0,1
2012,,0,72,Schaarbeek,1,1030,240000,vbd39027,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd39027,Normal,0,1
1968,2,0,80,Ukkel,2,1180,275000,vbd37004,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd37004,To renovate,0,1
,,0,82,Boechout,1,2530,259000,rbu37770,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2530/boechout/rbu37770,Normal,0,1
,,0,65,Ukkel,2,1180,319000,vbd41236,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd41236,Normal,0,1
1903,2,0,52,Schaarbeek,1,1030,189000,vbd42452,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd42452,,0,1
2023,2,1,96,Boechout,2,2530,424500,rbu58433,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2530/boechout/rbu58433,New,0,1
2019,,1,185,Boechout,3,2530,765000,rbu58948,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2530/boechout/rbu58948,Excellent,0,1
1903,2,0,65,Schaarbeek,1,1030,215000,vbd42453,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd42453,,0,1
2005,,0,139,Ukkel,5,1180,460000,vbd41803,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd41803,Normal,0,1
1978,3,0,80,Lint,2,2547,239000,rbu60240,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2547/lint/rbu60240,Normal,0,1
1903,2,0,52,Schaarbeek,1,1030,189000,vbd44839,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd44839,,0,1
2024,4,1,132,Ukkel,3,1180,595000,vbd42872,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd42872,,0,1
1933,3,1,101,Schaarbeek,1,1030,285000,vbd45418,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd45418,Normal,0,0
2007,,0,91,Kontich,2,2550,299000,rbu55937,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2550/kontich/rbu55937,,0,1
1966,2,0,67,Ukkel,1,1180,285000,vbd44693,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd44693,,0,1
1959,2,0,105,Schaarbeek,3,1030,250000,vbd45698,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd45698,To be renovated,0,1
2012,2,0,56,Kontich,1,2550,157000,rbu56987,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2550/kontich/rbu56987,Excellent,1,1
,,0,80,Ukkel,2,1180,299000,vbd44813,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd44813,To renovate,0,0
1929,2,0,79,Schaarbeek,1,1030,275000,vbd45952,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd45952,Normal,0,1
,3,0,56,Kontich,1,2550,198700,rbu62200,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2550/kontich/rbu62200,Normal,0,0
1930,,0,71,Ukkel,1,1180,230000,vbd45183,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd45183,Normal,0,0
2001,,0,124,Kontich,3,2550,379000,rbu64835,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2550/kontich/rbu64835,,0,1
1960,2,0,83,Schaarbeek,2,1030,330000,vbd45953,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd45953,To renovate,0,1
1931,2,0,40,Ukkel,1,1180,200000,vbd45873,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd45873,To be renovated,0,0
1988,4,0,85,Schaarbeek,2,1030,269000,vbd46292,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd46292,Excellent,0,0
2020,3,0,133,Kessel,3,2560,420000,rbt90731,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2560/kessel/rbt90731,Normal,0,1
,2,0,39,Ukkel,,1180,178000,vbd45889,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd45889,,0,1
1966,,0,81,Schaarbeek,2,1030,300000,vbd46386,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd46386,Normal,0,1
2027,2,0,83,Ukkel,2,1180,602500,vbd45919,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd45919,New,0,1
2022,2,0,107,Nijlen,2,2560,365000,rbu62437,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2560/nijlen/rbu62437,Normal,0,1
,2,0,70,Schaarbeek,1,1030,320000,vbd46550,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd46550,Normal,0,1
1962,,0,65,Duffel,2,2570,165000,rbu55509,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2570/duffel/rbu55509,,0,0
2026,3,1,116,Ukkel,2,1180,492500,vbd45936,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd45936,New,0,1
1957,2,0,90,Schaarbeek,2,1030,285000,vbd46671,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd46671,,0,1
1972,2,0,65,Ukkel,2,1180,250000,vbd45976,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd45976,To renovate,0,1
1993,2,1,87,Duffel,2,2570,250000,rbu58395,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2570/duffel/rbu58395,,0,1
1953,,0,83,Schaarbeek,2,1030,,vbd46765,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd46765,To renovate,0,0
,4,0,130,Ukkel,3,1180,525000,vbd46251,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd46251,,0,1
2025,2,0,94,Beerzel,2,2580,335000,rbu58393,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2580/beerzel/rbu58393,New,0,1
1930,2,0,85,Schaarbeek,2,1030,295000,vbd46860,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd46860,To renovate,0,1
1965,,0,160,Ukkel,2,1180,625000,vbd46311,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd46311,,0,1
2006,3,0,100,Beerzel,2,2580,265000,rbu62732,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2580/beerzel/rbu62732,,0,1
1978,,0,240,Ukkel,4,1180,1050000,vbd46380,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd46380,Excellent,1,1
1958,2,0,97,Schaarbeek,2,1030,295000,vbd46923,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd46923,Normal,0,0
